valor ano quilometragem	motor modelo
15990 2006 118500 0 0
24500 2012 74500 0 0
15900 2012 100000 0 0
19900 2012 140000 0 0
20900 2010 96000 0 0
20990 2009 170000 0 0
22990 2013 86000 0 1
50900 2019 42248 1 1
47500 2019 51782 0 1
50760 2019 49955 1 1
46900 2018 85900 1 1
31990 2013 68000 0 1
45890 2017 38721 0 1
34900 2015 117000 0	1
33800 2015 117300 0	1
72490 2021 0 1 1
20900 2009 173000 0	1
54590 2021 0 0 1
19999 2011 140000 0	1
38900 2014 91000 0 1
50899 2019 33500 1 1
35900 2014 80000 0 1
35899 2014 93000 0 1
43890 2017 75000 1 1
47440 2019 44948 0 1
45900 2018 54819 1 1
49900 2019 49500 0 1
45900 2018 43411 1 1
35899 2014 93000 0 1
48900 2019 16000 0 1
14900 2010 111222 0 0
16900 2009 109612 0 0
24900 2012 110000 0 0
25900 2012 92207 0 0
26900 2012 100000 0 0
21900 2011 88000 0 0
